Chrom.1 (5)		Chrom.1		Chrom.1 (1)		Chrom.1 (2)		Chrom.1 (3)		Chrom.1 (4)		
UV		UV		UV		UV		UV		UV		
ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	ml	mAU	
0.237	-0.03883559	0.237	0.02793002	0.237	-0.1536118	0.237	-0.0932185	0.237	-0.089002	0.237	-0.07241163	
0.239	-0.03786192	0.239	0.03244838	0.239	-0.1525893	0.239	-0.09197902	0.239	-0.08864372	0.239	-0.07133219	
0.24	-0.03675219	0.24	0.03695594	0.24	-0.1523645	0.24	-0.09115987	0.24	-0.08807772	0.24	-0.07074001	
0.241	-0.03573688	0.241	0.04113593	0.241	-0.1521289	0.241	-0.09063784	0.241	-0.08782205	0.241	-0.07042883	
0.243	-0.03487613	0.243	0.04510312	0.243	-0.1523085	0.243	-0.08972116	0.243	-0.08757292	0.243	-0.06966814	
0.244	-0.03455467	0.244	0.04872005	0.244	-0.1532245	0.244	-0.08865204	0.244	-0.08713993	0.244	-0.06910335	
0.245	-0.03468896	0.245	0.0517711	0.245	-0.1535082	0.245	-0.08707354	0.245	-0.08709866	0.245	-0.06889088	
0.247	-0.03487444	0.247	0.05454918	0.247	-0.1531716	0.247	-0.08583174	0.247	-0.08720849	0.247	-0.06926834	
0.248	-0.03463108	0.248	0.058283	0.248	-0.1521204	0.248	-0.08549397	0.248	-0.08690515	0.248	-0.06983351	
0.249	-0.03390288	0.249	0.06221948	0.249	-0.151599	0.249	-0.08485439	0.249	-0.08631728	0.249	-0.06985439	
0.251	-0.03367166	0.251	0.06536069	0.251	-0.1513079	0.251	-0.083743	0.251	-0.08542108	0.251	-0.06862436	
0.252	-0.03372933	0.252	0.06845844	0.252	-0.1505924	0.252	-0.08297852	0.252	-0.08474433	0.252	-0.06713835	
0.253	-0.03313116	0.253	0.07127535	0.253	-0.1499778	0.253	-0.0825414	0.253	-0.08465996	0.253	-0.06644581	
0.255	-0.03196867	0.255	0.07443745	0.255	-0.1497183	0.255	-0.08225743	0.255	-0.0846177	0.255	-0.06656756	
0.256	-0.03172663	0.256	0.0771853	0.256	-0.148915	0.256	-0.08276919	0.256	-0.08422069	0.256	-0.06656706	
0.257	-0.03231905	0.257	0.08019257	0.257	-0.1477708	0.257	-0.08260085	0.257	-0.08403081	0.257	-0.06589396	
0.259	-0.0320565	0.259	0.08309352	0.259	-0.1475304	0.259	-0.08206996	0.259	-0.08368327	0.259	-0.06489503	
0.26	-0.03217257	0.26	0.08545738	0.26	-0.1475343	0.26	-0.08181273	0.26	-0.08258084	0.26	-0.06448281	
0.261	-0.03311926	0.261	0.08725213	0.261	-0.1473136	0.261	-0.08091842	0.261	-0.08161797	0.261	-0.06465743	
